"","x"
"2400",195
"2401",1208
"2402",1219
"2403",1220
"2404",1221
"2405",1221
"2406",1221
"2407",1221
"2408",1221
"2409",1221
"2410",1221
"2411",1221
"2412",1221
"2413",1222
"2414",8
"2415",8
"2416",1223
"2417",1223
"2418",8
"2419",8
"2420",8
"2421",1222
"2422",807
"2423",1224
"2424",1225
"2425",1226
"2426",8
"2427",1006
"2428",1227
"2429",1228
"2430",1229
"2431",1230
"2432",1231
"2433",1232
"2434",1233
"2435",1234
"2436",1235
"2437",1236
"2438",1237
"2439",1238
"2440",1239
"2441",1229
"2442",1240
"2443",1241
